"ID","Title","Published","Solved By","Last Poster","Last Post Date","Solve Status"
787,"Bézout's Game",1645880400,224,FlorianDelpoux,1754707961,0
788,"Dominating Numbers",1646496000,1355,JimYin88,1742837122,0
789,"Minimal Pairing Modulo $p$",1647111600,230,j...,1735832279,0
790,"Clock Grid",1647727200,298,FlorianDelpoux,1754431829,0
791,"Average and Variance",1648342800,174,ohadkel,1656252329,0
792,"Too Many Twos",1648958400,174,popop614,1751733697,0
793,"Median of Products",1649574000,771,sqrt73,1753041841,0
794,"Seventeen Points",1650189600,359,hacatu,1752395385,0
795,"Alternating GCD Sum",1650718800,414,hitman47,1752998460,0
796,"A Grand Shuffle",1651334400,229,j...,1673883053,0
797,"Cyclogenic Polynomials",1651950000,217,ATawnyOwl,1747966978,0
798,"Card Stacking Game",1652565600,143,ssfadaw,1748907827,0
799,"Pentagonal Puzzle",1653181200,260,j...,1736599999,0
800,"Hybrid Integers",1653796800,2253,froycard,1753305387,0
801,"$x^y \equiv y^x$",1654412400,317,Circling,1750693133,0
802,"Iterated Composition",1655028000,301,aryabhatta_euler,1749890272,0
803,"Pseudorandom Sequence",1655557200,249,_epistemologist,1725473343,0
804,"Counting Binary Quadratic Representations",1656172800,759,bcsb1001,1752273592,0
805,"Shifted Multiples",1656788400,203,Swistakk,1750456095,0
806,"Nim on Towers of Hanoi",1657404000,147,Swistakk,1737079554,0
807,"Loops of Ropes",1662858000,145,sshard,1739022220,0
808,"Reversible Prime Squares",1663473600,3136,AaryanSachdeva,1754347337,0
809,"Rational Recurrence Relation ",1664089200,339,<i>Reiner Martin</i>,1747076998,0
810,"XOR-Primes",1664704800,836,abelin,1754680696,0
811,"Bitwise Recursion",1665234000,257,FlorianDelpoux,1754181138,0
812,"Dynamical Polynomials",1665849600,154,wim59,1691175022,0
813,"XOR-Powers",1666465200,657,abelin,1745258910,0
814,"Mezzo-forte",1667080800,244,j...,1695037389,0
815,"Group by Value",1667696400,497,Vicfred,1750030203,0
816,"Shortest Distance Among Points",1668312000,2551,Roy_Elia,1746971824,0
817,"Digits in Squares",1668927600,519,bcsb1001,1750019542,0
818,"SET",1669543200,163,lightbulbMEOW,1714788179,0
819,"Iterative Sampling",1670072400,247,main,1690381350,0
820,"$N$<sup>th</sup> Digit of Reciprocals",1670688000,1112,AaryanSachdeva,1754434030,0
821,"123-Separable",1671303600,170,tko919,1750281254,0
822,"Square the Smallest",1671919200,918,AxelFox,1751283030,0
823,"Factor Shuffle",1672534800,207,<i>Mikhail Lomonosov</i>,1752340802,0
824,"Chess Sliders",1673150400,138,stewbasic,1723435379,0
825,"Chasing Game",1673766000,172,Swistakk,1750201495,0
826,"Birds on a Wire",1674381600,268,hidesugar,1711529148,0
827,"Pythagorean Triple Occurrence",1674910800,202,Redshiftz,1744655545,0
828,"Numbers Challenge",1675526400,742,Vicfred,1749747956,0
829,"Integral Fusion",1676142000,231,adamant,1684185556,0
830,"Binomials and Powers",1676757600,168,aryabhatta_euler,1750100119,0
831,"Triple Product",1677373200,207,mavotroky,1698296053,0
832,"Mex Sequence",1677988800,358,marijan,1746271024,0
833,"Square Triangle Products",1678604400,182,staffn,1703176170,0
834,"Add and Divide",1679220000,461,Vicfred,1749948711,0
835,"Supernatural Triangles",1679749200,429,<i>Nick Potter</i>,1754558424,0
836,"A Bold Proposition",1680364800,4793,qdiace,1753431860,0
837,"Amidakuji",1680364800,230,matressi,1747900509,0
838,"Not Coprime",1680980400,665,Vicfred,1749856538,0
839,"Beans in Bowls",1681596000,397,<i>Reiner Martin</i>,1747431439,0
840,"Sum of Products",1682211600,419,<i>Mikhail Lomonosov</i>,1750172710,0
841,"Regular Star Polygons",1682827200,209,SNAIL-ERATO,1732861112,0
842,"Irregular Star Polygons",1683442800,140,smilesformiles,1689046852,0
843,"Periodic Circles",1684058400,138,<i>Yoni</i>,1741466207,0
844,"$k$-Markov Numbers",1684587600,231,FlorianDelpoux,1752715738,0
845,"Prime Digit Sum",1685203200,879,Vicfred,1749679220,0
846,"Magic Bracelets",1685818800,232,Swistakk,1743003132,0
847,"Jack's Bean",1686434400,130,lightbulbMEOW,1741083568,0
848,"Guessing with Sets",1687050000,225,adamant,1689967716,0
849,"The Tournament",1687665600,281,hacatu,1753345742,0
850,"Fractions of Powers",1688281200,140,j...,1699122907,0
851,"SOP and POS",1688896800,170,ridiculous_compute,1753468584,0
852,"Coins in a Box",1693659600,255,mcj_haskell,1745264873,0
853,"Pisano Periods 1",1694275200,1587,TitanCode,1749657160,0
854,"Pisano Periods 2",1694275200,395,sqlmdx,1752851750,0
855,"Delphi Paper",1694890800,151,lightbulbMEOW,1716897786,0
856,"Waiting for a Pair",1695506400,677,Vicfred,1749753495,0
857,"Beautiful Graphs",1696122000,193,hacatu,1744693155,0
858,"LCM",1696737600,248,hacatu,1740196670,0
859,"Cookie Game",1697353200,250,teeour,1738427486,0
860,"Gold and Silver Coin Game",1697968800,517,Vicfred,1749769334,0
861,"Products of Bi-Unitary Divisors",1698498000,230,FlorianDelpoux,1753709562,0
862,"Larger Digit Permutation",1699113600,858,AxelFox,1750067244,0
863,"Different Dice",1699729200,247,amic,1747839539,0
864,"Square + 1 = Squarefree",1700344800,200,hitman47,1751724852,0
865,"Triplicate Numbers",1700960400,298,<i>Reiner Martin</i>,1747318987,0
866,"Tidying Up B",1701576000,453,Vicfred,1749909221,0
867,"Tiling Dodecagon",1702191600,182,<i>KMG</i>,1706115411,0
868,"Belfry Maths",1702807200,475,Vicfred,1749862340,0
869,"Prime Guessing",1703336400,805,AxelFox,1751291588,0
870,"Stone Game IV",1703952000,151,hacatu,1713821495,0
871,"Drifting Subsets",1704567600,369,<i>Mikhail Lomonosov</i>,1750215438,0
872,"Recursive Tree",1705183200,1149,blu.knite,1754525216,0
873,"Words with Gaps",1705798800,354,<i>Mikhail Lomonosov</i>,1750196952,0
874,"Maximal Prime Score",1706414400,568,Vicfred,1749712854,0
875,"Quadruple Congruence",1707030000,233,plamenko,1749691857,0
876,"Triplet Tricks",1707645600,115,sshard,1741603997,0
877,"XOR-Equation A",1708174800,485,Vicfred,1749873062,0
878,"XOR-Equation B",1708174800,293,s.c.koehler,1748447300,0
879,"Touch-screen Password",1708790400,463,squareroot,1753529560,0
880,"Nested Radicals",1709406000,118,byhill,1751449011,0
881,"Divisor Graph Width",1710021600,532,<i>Mikhail Lomonosov</i>,1749834910,0
882,"Removing Bits",1710637200,157,cheafdevo,1717725284,0
883,"Remarkable Triangles",1711252800,113,popop614,1752989167,0
884,"Removing Cubes",1711868400,623,Vicfred,1749927865,0
885,"Sorted Digits",1712484000,1028,hitman47,1748099259,0
886,"Coprime Permutations",1713013200,283,FlorianDelpoux,1752224300,0
887,"Bounded Binary Search",1713628800,272,FlorianDelpoux,1738592358,0
888,"1249 Nim",1714244400,201,ConWay3.14,1717067385,0
889,"Rational Blancmange",1714860000,131,uselessness,1738563449,0
890,"Binary Partitions",1715475600,204,AlperTheKing,1753912777,0
891,"Ambiguous Clock",1716091200,162,marecik16,1723317019,0
892,"Zebra Circles",1716706800,161,jh05013,1735406314,0
893,"Matchsticks",1717322400,658,Vicfred,1749697766,0
894,"Spiral of Circles",1717851600,351,FlorianDelpoux,1739525427,0
895,"Gold &amp; Silver Coin Game II",1718467200,102,<i>Yoni</i>,1731429842,0
896,"Divisible Ranges",1719082800,225,brucehart,1746307445,0
897,"Maximal $n$-gon in a region",1719698400,437,<i>Mikhail Lomonosov</i>,1750303573,0
898,"Claire Voyant",1720314000,323,hacatu,1745467211,0
899,"DistribuNim I",1720929600,557,Vicfred,1749669895,0
900,"DistribuNim II",1720929600,152,mdean,1748752003,0
901,"Well Drilling",1721545200,490,StudiousGoblin,1751903464,0
902,"Permutation Powers",1722160800,173,thedoctar,1732113006,0
903,"Total Permutation Powers",1722160800,124,thedoctar,1732358556,0
904,"Pythagorean Angle",1724504400,230,FlorianDelpoux,1754386345,0
905,"Now I Know",1725120000,348,FlorianDelpoux,1740489624,0
906,"A Collective Decision",1725735600,237,squareroot,1752525200,0
907,"Stacking Cups",1726351200,287,marecik16,1748787753,0
908,"Clock Sequence II",1726966800,145,wim59,1740342457,0
909,"L-expressions I",1727582400,177,Steffel,1750705937,0
910,"L-expressions II",1727582400,81,plamenko,1752101527,0
911,"Khinchin Exceptions",1728198000,187,hacatu,1744383347,0
912,"Where are the Odds?",1728813600,200,thedoctar,1736255128,0
913,"Row-major vs Column-major",1729342800,149,wim59,1737266084,0
914,"Triangles inside Circles",1729958400,525,Vicfred,1749937911,0
915,"Giant GCDs",1730574000,207,wim59,1734762102,0
916,"Restricted Permutations",1731189600,162,<i>zzz</i>,1750188761,0
917,"Minimal Path Using Additive Cost",1731805200,224,Varcho,1738646810,0
918,"Recursive Sequence Summation",1732420800,1139,sqlmdx,1753195144,0
919,"Fortunate Triangles",1733036400,257,popop614,1751937870,0
920,"Tau Numbers",1733652000,285,unime,1742072308,0
921,"Golden Recurrence",1734181200,209,<i>Reiner Martin</i>,1747050710,0
922,"Young's Game A",1734796800,137,Lazar,1738050860,0
923,"Young's Game B",1734796800,104,Lazar,1738271846,0
924,"Larger Digit Permutation II",1735412400,204,FlorianDelpoux,1754611264,0
925,"Larger Digit Permutation III",1735412400,168,thedoctar,1735800913,0
926,"Total Roundness",1736028000,689,SNAIL-ERATO,1751919587,0
927,"Prime-ary Tree",1736643600,183,hacatu,1742958242,0
928,"Cribbage",1737259200,222,FlorianDelpoux,1743475466,0
929,"Odd-Run Compositions",1737874800,229,plamenko,1749864720,0
930,"The Gathering",1738490400,122,sshard,1746599586,0
931,"Totient Graph",1739019600,153,foraarslys,1740190520,0
932,"$2025$",1739635200,1408,timday,1754833525,0
933,"Paper Cutting",1740250800,155,jy314,1750157123,0
934,"Unlucky Primes",1740866400,377,DanielJackson,1751949313,0
935,"Rolling Square",1741482000,110,popop614,1754621688,0
936,"Peerless Trees",1742097600,99,Varcho,1747434503,0
937,"Equiproduct Partition",1742713200,148,j...,1747651423,0
938,"Exhausting a Colour",1743328800,841,timday,1754842917,0
939,"Partisan Nim",1743858000,121,shs.10978,1745591293,0
940,"Two-Dimensional Recurrence",1744473600,499,jchaoisaac,1753758424,0
941,"de Bruijn's Combination Lock",1745089200,114,WaveM3,1748512448,0
942,"Mersenne's Square Root",1745704800,65,Redshiftz,1751747185,0
943,"Self Describing Sequences",1746320400,71,uau,1752473700,0
944,"Sum of Elevisors",1746936000,592,FlorianDelpoux,1752443434,0
945,"XOR-Equation C",1747551600,188,FlorianDelpoux,1754007551,0
946,"Continued Fraction Fraction",1748167200,208,FlorianDelpoux,1753754108,0
947,"Fibonacci Residues",1748696400,133,hacatu,1749543209,0
948,"Left vs Right",1749312000,272,tartuflein,1754830775,0
949,"Left vs Right II",1749312000,30,<i>nimrod</i>,1753257764,0
950,"Pirate Treasure",1749927600,92,lightbulbMEOW,1750692740,0
951,"A Game of Chance",1750543200,281,grok123,1754546274,0
952,"Order Modulo Factorial",1751158800,222,i707107,1751425407,0
953,"Factorisation Nim",1751774400,148,Redshiftz,1751967185,0
954,"Heptaphobia",1752390000,139,jjoshua2,1752716158,0
955,"Finding Triangles",1753005600,335,ChandlerH,1754611640,0
956,"Super Duper Sum",1753534800,268,xxmn,1754749336,0
957,"Point Genesis",1754150400,28,<i>MrBlack</i>,1754435373,0
